AH07_bin.14_k141_724963_24	---(AH07_bin.14_k141_724963_18)------(AH07_bin.14_k141_724963_19 MGEs)------(AH07_bin.14_k141_724963_20 MGEs)------(AH07_bin.14_k141_724963_21 MGEs)------(AH07_bin.14_k141_724963_22 MGEs)------(AH07_bin.14_k141_724963_23 MGEs)------(AH07_bin.14_k141_724963_24 ARGs)---
CRR1273916_bin.2_k141_264343_3	---(CRR1273916_bin.2_k141_264343_1 MGEs)------(CRR1273916_bin.2_k141_264343_2)------(CRR1273916_bin.2_k141_264343_3 ARGs)------(CRR1273916_bin.2_k141_264343_4)---
CRR355451_bin.9_k141_320864_6	---(CRR355451_bin.9_k141_320864_1)------(CRR355451_bin.9_k141_320864_2)------(CRR355451_bin.9_k141_320864_3)------(CRR355451_bin.9_k141_320864_4)------(CRR355451_bin.9_k141_320864_5)------(CRR355451_bin.9_k141_320864_6 ARGs)------(CRR355451_bin.9_k141_320864_7)------(CRR355451_bin.9_k141_320864_8 MGEs)---
CRR914884_bin.16_k81_73191_2	---(CRR914884_bin.16_k81_73191_1)------(CRR914884_bin.16_k81_73191_2 ARGs)------(CRR914884_bin.16_k81_73191_3)------(CRR914884_bin.16_k81_73191_4 MGEs)---
DRR173101_bin.21_k141_56421_1	---(DRR173101_bin.21_k141_56421_1 ARGs|MGEs)------(DRR173101_bin.21_k141_56421_2)------(DRR173101_bin.21_k141_56421_3)------(DRR173101_bin.21_k141_56421_4)------(DRR173101_bin.21_k141_56421_5)------(DRR173101_bin.21_k141_56421_6)------(DRR173101_bin.21_k141_56421_7)------(DRR173101_bin.21_k141_56421_8)---
DRR173101_bin.21_k141_56705_1	---(DRR173101_bin.21_k141_56705_1 ARGs|MGEs)------(DRR173101_bin.21_k141_56705_2)------(DRR173101_bin.21_k141_56705_3)------(DRR173101_bin.21_k141_56705_4)---
QH14_bin.57_k141_204049_6	---(QH14_bin.57_k141_204049_2 MGEs)------(QH14_bin.57_k141_204049_3 MGEs)------(QH14_bin.57_k141_204049_4)------(QH14_bin.57_k141_204049_5)------(QH14_bin.57_k141_204049_6 ARGs)------(QH14_bin.57_k141_204049_7)------(QH14_bin.57_k141_204049_8)---
QH14_bin.57_k141_204049_7	---(QH14_bin.57_k141_204049_2 MGEs)------(QH14_bin.57_k141_204049_3 MGEs)------(QH14_bin.57_k141_204049_4)------(QH14_bin.57_k141_204049_5)------(QH14_bin.57_k141_204049_6)------(QH14_bin.57_k141_204049_7 ARGs)------(QH14_bin.57_k141_204049_8)---
SRR10083308_bin.24_k81_554967_3	---(SRR10083308_bin.24_k81_554967_1 MGEs)------(SRR10083308_bin.24_k81_554967_2)------(SRR10083308_bin.24_k81_554967_3 ARGs)------(SRR10083308_bin.24_k81_554967_4)------(SRR10083308_bin.24_k81_554967_5)------(SRR10083308_bin.24_k81_554967_6)------(SRR10083308_bin.24_k81_554967_7 MGEs)---
SRR10083310_bin.30_k81_753337_4	---(SRR10083310_bin.30_k81_753337_1)------(SRR10083310_bin.30_k81_753337_2 MGEs)------(SRR10083310_bin.30_k81_753337_3)------(SRR10083310_bin.30_k81_753337_4 ARGs)---
SRR19660473_bin.8_k81_193793_1	---(SRR19660473_bin.8_k81_193793_1 ARGs)------(SRR19660473_bin.8_k81_193793_2 MGEs)------(SRR19660473_bin.8_k81_193793_3 MGEs)------(SRR19660473_bin.8_k81_193793_4 MGEs)------(SRR19660473_bin.8_k81_193793_5 MGEs)------(SRR19660473_bin.8_k81_193793_6 MGEs)------(SRR19660473_bin.8_k81_193793_7)---
SRR5431716_bin.2_k141_783_4	---(SRR5431716_bin.2_k141_783_1)------(SRR5431716_bin.2_k141_783_2)------(SRR5431716_bin.2_k141_783_3)------(SRR5431716_bin.2_k141_783_4 ARGs)------(SRR5431716_bin.2_k141_783_5)------(SRR5431716_bin.2_k141_783_6)------(SRR5431716_bin.2_k141_783_7)------(SRR5431716_bin.2_k141_783_8)------(SRR5431716_bin.2_k141_783_9 MGEs)------(SRR5431716_bin.2_k141_783_10)---
